Company,Year,Month,Quarter,Deliveries,Revenue_USD_M,Net_Income_USD_M,Operating_Margin_%,EV_Models_Available,Revenue_Per_Vehicle,Market_Share_%
Tesla,2021,1,Q1,51744,2908.92,122.64,5.7,3,56217.53,87.38
Tesla,2021,2,Q1,55440,3116.7,131.4,5.7,3,56217.53,87.38
Tesla,2021,3,Q1,77616,4363.38,183.96,5.7,3,56217.53,87.38
Tesla,2021,4,Q2,56350,3348.24,319.76,11.0,3,59418.63,86.43
Tesla,2021,5,Q2,60375,3587.4,342.6,11.0,3,59418.63,86.43
Tesla,2021,6,Q2,84525,5022.36,479.64,11.0,3,59418.63,86.43
Tesla,2021,7,Q3,67564,3851.96,453.04,14.6,3,57012.02,89.01
Tesla,2021,8,Q3,72390,4127.1,485.4,14.6,3,57012.02,89.01
Tesla,2021,9,Q3,101346,5777.94,679.56,14.6,3,57012.02,89.01
Tesla,2021,10,Q4,86408,4961.32,649.88,14.7,3,57417.37,89.42
Tesla,2021,11,Q4,92580,5315.7,696.3,14.7,3,57417.37,89.42
Tesla,2021,12,Q4,129612,7441.98,974.82,14.7,3,57417.37,89.42
Tesla,2022,1,Q1,86813,5251.68,929.04,19.2,3,60494.17,88.62
Tesla,2022,2,Q1,93014,5626.8,995.4,19.2,3,60494.12,88.62
Tesla,2022,3,Q1,130220,7877.52,1393.56,19.2,3,60493.93,88.62
Tesla,2022,4,Q2,71315,4741.52,632.52,14.6,3,66486.99,88.96
Tesla,2022,5,Q2,76408,5080.2,677.7,14.6,3,66487.8,88.96
Tesla,2022,6,Q2,106972,7112.28,948.78,14.6,3,66487.31,88.96
Tesla,2022,7,Q3,96272,6007.12,921.2,17.2,3,62397.37,90.1
Tesla,2022,8,Q3,103149,6436.2,987.0,17.2,3,62397.11,90.1
Tesla,2022,9,Q3,144409,9010.68,1381.8,17.2,3,62396.94,90.1
Tesla,2022,10,Q4,113478,6809.04,1032.36,16.0,4,60003.17,88.81
Tesla,2022,11,Q4,121583,7295.4,1106.1,16.0,4,60003.45,88.81
Tesla,2022,12,Q4,170217,10213.56,1548.54,16.0,4,60003.17,88.81
Tesla,2023,1,Q1,118405,6532.12,703.64,11.4,4,55167.6,87.62
